Zip,Unemp. Rate,# in sample
5352,0.07,699
5353,0.05,876
5354,0.04,1864
5355,0.09,537
5356,0.11,739
5358,0.02,172
5359,0.05,528
5360,0.01,179
5361,0.09,704
5362,0.11,92
5363,0.07,2030
5401,0.08,24866
5403,0.04,14469
5404,0.07,6040
5405,0.19,3968
5408,0.06,8543
5439,0.11,1594
5440,0.14,1529
5441,0.12,791
5442,0.08,261
5443,0.07,5372
5444,0.04,1451
5445,0.07,2813
5446,0.04,12669
5447,0.11,68
5448,0.07,987
5450,0.06,3628
5452,0.04,15535
5454,0.03,3441
5455,0.07,825
5456,0.05,1104
5457,0.07,1349
5458,0.03,1717
5459,0.14,1876
5461,0.03,3648
5462,0.04,1603
5463,0.12,422
5464,0.04,2163
5465,0.03,4037
5468,0.05,10106
5471,0.10,516
5472,0.05,1316
5473,0.07,1121
5474,0.04,749
5476,0.11,2675
5477,0.04,3555
5478,0.06,11036
5481,,0
5482,0.04,5747
5483,0.04,1082
5485,0.00,47
5486,0.05,1406
5487,0.07,1196
5488,0.06,6031
5489,0.03,2420
5491,0.06,4607
5492,0.04,618
5494,0.06,1542
5495,0.04,7145
5602,0.05,9544
5640,0.07,198
5641,0.06,14199
5647,0.03,836
